country,eu_non_eu,lon,lat
Belgium,EU,4.469936,50.503887
Denmark,EU,9.501785,56.26392
Egypt,NON-EU,30.802498,26.820553
France,EU,2.213749,46.227638
Germany,EU,10.451526,51.165691
Greece,EU,21.824312,39.074208
Irish Republic,EU,-8.24389,53.41291
Israel,NON-EU,34.851612,31.046051
Italy,EU,12.56738,41.87194
Ivory Coast,NON-EU,-5.547079999999999,7.539988999999999
Netherlands,EU,5.291265999999999,52.132633
Norway,NON-EU,8.468945999999999,60.47202399999999
Poland,EU,19.145136,51.919438
Portugal,EU,-8.224454,39.39987199999999
Spain,EU,-3.74922,40.46366700000001
United States,NON-EU,-95.712891,37.09024
Cyprus,EU,33.429859,35.126413
Tunisia,NON-EU,9.537499,33.886917
Austria,EU,14.550072,47.516231
Bulgaria,EU,25.48583,42.733883
Croatia,EU,15.2000001,45.1
Czech Republic,EU,15.472962,49.81749199999999
Finland,EU,25.7481511,61.92410999999999
Hungary,EU,19.5033041,47.162494
Lithuania,EU,23.881275,55.169438
Luxembourg,EU,6.129582999999999,49.815273
Malta,EU,14.375416,35.937496
Morocco,NON-EU,-7.092619999999999,31.791702
Romania,EU,24.96676,45.943161
Slovakia,EU,19.699024,48.669026
Slovenia,EU,14.995463,46.151241
South Africa,NON-EU,22.937506,-30.559482
Sweden,EU,18.643501,60.12816100000001
Albania,NON-EU,20.168331,41.153332
Algeria,NON-EU,1.659626,28.033886
China,NON-EU,104.195397,35.86166
Costa Rica,NON-EU,-83.753428,9.748916999999999
Estonia,EU,25.0136071,58.595272
Iceland,NON-EU,-19.020835,64.963051
Indonesia,NON-EU,113.921327,-0.789275
Kosovo,NON-EU,20.902977,42.6026359
Latvia,EU,24.603189,56.879635
Macao,NON-EU,113.543873,22.198745
Senegal,NON-EU,-14.452362,14.497401
Turkey,NON-EU,35.243322,38.963745
Ukraine,NON-EU,31.1655799,48.379433
Argentina,NON-EU,-63.61667199999999,-38.416097
Australia,NON-EU,133.775136,-25.274398
Chile,NON-EU,-71.542969,-35.675147
Ghana,NON-EU,-1.023194,7.946527
India,NON-EU,78.96288,20.593684
Iran,NON-EU,53.688046,32.427908
Jordan,NON-EU,36.2384,30.5852
Kenya,NON-EU,37.906193,-0.023559
Mexico,NON-EU,-102.552784,23.634501
New Zealand,NON-EU,174.885971,-40.900557
Pakistan,NON-EU,69.34511599999999,30.375321
Sri Lanka,NON-EU,80.77179699999999,7.873053999999999
Syria,NON-EU,38.996815,34.80207499999999
Thailand,NON-EU,100.992541,15.870032
Canada,NON-EU,-106.346771,56.130366
Dominican Rep,NON-EU,-70.162651,18.735693
Ethiopia,NON-EU,40.489673,9.145000000000001
Guatemala,NON-EU,-90.23075899999999,15.783471
Hong Kong,NON-EU,114.1693611,22.3193039
Japan,NON-EU,138.252924,36.204824
Malaysia,NON-EU,101.975766,4.210484
Oman,NON-EU,55.975413,21.4735329
Panama,NON-EU,-80.782127,8.537981
Peru,NON-EU,-75.015152,-9.189967
Switzerland,NON-EU,8.227511999999999,46.818188
Uganda,NON-EU,32.290275,1.373333
Vietnam,NON-EU,108.277199,14.058324
Singapore,NON-EU,103.819836,1.352083
Cameroon,NON-EU,12.354722,7.369721999999999
Colombia,NON-EU,-74.297333,4.570868
South Korea,NON-EU,127.766922,35.907757
Tanzania,NON-EU,34.888822,-6.369028
Zimbabwe,NON-EU,29.154857,-19.015438
Brazil,NON-EU,-51.92528,-14.235004
Jamaica,NON-EU,-77.297508,18.109581
Mozambique,NON-EU,35.529562,-18.665695
Rwanda,NON-EU,29.873888,-1.940278
